Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,STATE,761.026,808.001,46.975,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,STATE,765.058,795.165,30.107,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,STATE,781.625,790.974,9.349,,
for	QF11	20181118	9,2018-11-18 09:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_093517.avi,884.120,25.0,Worker 5 (65),nectarforaging,,STATE,808.127,874.546,66.419,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,STATE,808.165,833.765,25.600,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,STATE,840.698,869.995,29.297,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,STATE,841.176,900.461,59.285,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 4 (52),nectarforaging,,STATE,841.578,872.201,30.623,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),pollenforaging,,STATE,849.726,859.571,9.845,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,STATE,859.596,912.896,53.300,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 4 (52),nectarforaging,,STATE,873.096,899.936,26.840,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,STATE,874.149,928.120,53.971,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),pollenforaging,,STATE,893.072,910.173,17.101,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,STATE,907.696,927.426,19.730,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),pollenforaging,,STATE,913.326,916.224,2.898,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 4 (52),nectarforaging,,STATE,930.701,940.576,9.875,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,STATE,942.838,1007.204,64.366,,
for	QF11	20181114	18,2018-11-14 18:00:22,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181114_185544.avi,1187.240,25.0,Unknown worker,nectarforaging,,STATE,1067.058,1075.105,8.047,,
for	QF11	20181119	16,2018-11-19 16:00:04,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181119_161017.avi,1777.000,25.0,Worker 4 (52),nectarforaging,,STATE,1093.306,1140.656,47.350,,
for	QF11	20181119	16,2018-11-19 16:00:04,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181119_161017.avi,1777.000,25.0,Worker 2 (17),nectarforaging,,STATE,1442.102,1506.282,64.180,,
for	QF11	20181119	16,2018-11-19 16:00:04,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181119_161017.avi,1777.000,25.0,Worker 4 (52),pollenforaging,,STATE,1719.866,1777.000,57.134,,
