,,Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 1 (5),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 2 (17),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42),Worker 3 (42)
nest	QT14	20181111	3,65.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.027,1,24.027,0,0.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181111	4,61.640,7.194,1,7.194,0,0.117,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181112	21,73.360,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,72.682,1,72.682,0,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181116	23,68.410,47.090,3,15.697,10.436,0.688,0.000,1,0.000,0,0.000,0,0,0,0,0,14.136,1,14.136,0,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181117	1,66.590,18.520,3,6.173,6.048,0.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181117	21,71.770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.212,1,36.212,0,0.505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181117	6,67.050,63.484,2,31.742,33.210,0.947,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181118	1,86.820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181118	10,69.500,0.001,1,0.001,0,0.000,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181118	21,70.140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.428,1,16.428,0,0.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QT14	20181118	3,80.140,25.675,1,25.675,0,0.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
